n:139 mse_avg:15362.23 mse_y:21313.40 mse_u:3820.67 mse_v:3099.06 psnr_avg:18.33 psnr_y:16.91 psnr_u:24.38 psnr_v:25.29 
n:140 mse_avg:11863.25 mse_y:16370.64 mse_u:4037.27 mse_v:1659.67 psnr_avg:19.46 psnr_y:18.06 psnr_u:24.14 psnr_v:28.00 
n:141 mse_avg:42.25 mse_y:41.88 mse_u:61.55 mse_v:24.44 psnr_avg:43.94 psnr_y:43.98 psnr_u:42.31 psnr_v:46.32 
n:142 mse_avg:10700.96 mse_y:14743.10 mse_u:3767.01 mse_v:1466.32 psnr_avg:19.90 psnr_y:18.51 psnr_u:24.44 psnr_v:28.54 
n:143 mse_avg:17839.54 mse_y:25105.92 mse_u:4387.74 mse_v:2225.84 psnr_avg:17.68 psnr_y:16.20 psnr_u:23.78 psnr_v:26.72 
n:144 mse_avg:19419.36 mse_y:27864.06 mse_u:3217.96 mse_v:1841.94 psnr_avg:17.32 psnr_y:15.75 psnr_u:25.12 psnr_v:27.54 
n:145 mse_avg:47.72 mse_y:47.62 mse_u:66.63 mse_v:29.23 psnr_avg:43.41 psnr_y:43.42 psnr_u:41.96 psnr_v:45.54 
n:146 mse_avg:9694.64 mse_y:13515.24 mse_u:2800.53 mse_v:1306.37 psnr_avg:20.33 psnr_y:18.89 psnr_u:25.73 psnr_v:29.04 
n:147 mse_avg:27090.91 mse_y:38818.33 mse_u:3952.43 mse_v:3319.72 psnr_avg:15.87 psnr_y:14.31 psnr_u:24.23 psnr_v:24.99 
n:148 mse_avg:12074.22 mse_y:16782.87 mse_u:3812.84 mse_v:1500.99 psnr_avg:19.38 psnr_y:17.95 psnr_u:24.39 psnr_v:28.43 
n:149 mse_avg:66.71 mse_y:68.55 mse_u:93.25 mse_v:32.80 psnr_avg:41.96 psnr_y:41.84 psnr_u:40.50 psnr_v:45.04 
n:150 mse_avg:15008.10 mse_y:20703.64 mse_u:4966.12 mse_v:2267.92 psnr_avg:18.43 psnr_y:17.04 psnr_u:23.24 psnr_v:26.64 
n:151 mse_avg:27053.91 mse_y:38033.06 mse_u:6423.01 mse_v:3768.21 psnr_avg:15.88 psnr_y:14.40 psnr_u:22.12 psnr_v:24.44 
n:152 mse_avg:14761.80 mse_y:20567.35 mse_u:4674.26 mse_v:1627.15 psnr_avg:18.51 psnr_y:17.07 psnr_u:23.50 psnr_v:28.08 
n:153 mse_avg:53.93 mse_y:55.56 mse_u:76.63 mse_v:24.70 psnr_avg:42.88 psnr_y:42.75 psnr_u:41.35 psnr_v:46.27 
n:154 mse_avg:30337.65 mse_y:43698.07 mse_u:3905.10 mse_v:3328.53 psnr_avg:15.38 psnr_y:13.79 psnr_u:24.28 psnr_v:24.97 
n:155 mse_avg:14627.40 mse_y:21210.37 mse_u:1678.41 mse_v:1244.50 psnr_avg:18.55 psnr_y:16.93 psnr_u:27.95 psnr_v:29.25 
n:156 mse_avg:11424.22 mse_y:16640.42 mse_u:1420.66 mse_v:562.97 psnr_avg:19.62 psnr_y:17.99 psnr_u:28.67 psnr_v:32.69 
n:157 mse_avg:30.78 mse_y:31.86 mse_u:39.87 mse_v:17.38 psnr_avg:45.31 psnr_y:45.16 psnr_u:44.19 psnr_v:47.80 
n:158 mse_avg:26083.84 mse_y:38114.45 mse_u:1165.92 mse_v:2879.33 psnr_avg:16.03 psnr_y:14.39 psnr_u:29.53 psnr_v:25.60 
n:159 mse_avg:19445.67 mse_y:28233.76 mse_u:1410.65 mse_v:2328.36 psnr_avg:17.31 psnr_y:15.69 psnr_u:28.70 psnr_v:26.53 
n:160 mse_avg:27256.08 mse_y:39621.67 mse_u:1267.91 mse_v:3781.87 psnr_avg:15.84 psnr_y:14.22 psnr_u:29.17 psnr_v:24.42 
n:161 mse_avg:50.38 mse_y:52.68 mse_u:60.25 mse_v:31.32 psnr_avg:43.17 psnr_y:42.98 psnr_u:42.40 psnr_v:45.24 
n:162 mse_avg:9578.76 mse_y:13779.73 mse_u:1213.73 mse_v:1139.89 psnr_avg:20.38 psnr_y:18.81 psnr_u:29.36 psnr_v:29.63 
n:163 mse_avg:24470.41 mse_y:35351.91 mse_u:2165.87 mse_v:3248.95 psnr_avg:16.31 psnr_y:14.71 psnr_u:26.84 psnr_v:25.08 
